uri,vmmParameterId
css:pak_5,2145
css:pfoa_som,2144
css:pfos_som,2143
css:naftenaten,2125
css:aeo_c15,2108
css:aeo_c14,2107
css:aeo_c13,2106
css:aeo_c12,2105
css:aeo_c11,2104
css:aeo_c10,2103
css:aeo_c17,2102
css:alk_c10-14,1856
css:aeo_c18,1844
css:aeo_c16,1843
css:aeo_c15_vertakt,1842
css:aeo_c14_vertakt,1841
css:aeo_c13_vertakt,1840
css:aeo_c12_vertakt,1839
css:aeo_c11_vertakt,1838
css:aeo_c10_vertakt,1837
css:apeo_c19,1836
css:apeo_c18,1835
css:apeo_c17,1834
css:apeo_c16,1833
css:apeo_c15,1832
css:apeo_c14,1831
css:apeo_c13,1830
css:apeo_c12,1829
css:apeo_c11,1828
css:apeo_c10,1827
css:apeo_c9,1826
css:apeo_c8,1825
css:apeo_c7,1824
css:apeo_c6,1823
css:bap___bbflu_som,1787
css:dmyfol_eyfol_2ipyfol,1786
css:fosfor_totaal,1780
css:2_3_4cfol,1779
css:12cbz_14cbz,1778
css:pcb_ind,1777
css:nso,1776
css:dinyft_didyft,1775
css:pfos__pfba__pfbs,1774
css:dmyfol_som,1773
css:eyfol_som,1772
css:min_oliec10-c40,1771
css:min_oliec6-c10,1770
css:7_metalen_totaal,1769
css:cr_zn_mn_cu,1768
css:surf_kid_nid,1767
css:dcpa,1766
css:ocp_i,1765
css:pfc_exl_pfos__pfoa,1764
css:ftal,1763
css:ftal_excl_dehp,1762
css:12cbz_13cbz,1761
css:butanol,1760
css:fol_c__i,1759
css:tcee__dcee_tcea,1758
css:white-spirit,1757
css:pak_excl_naftaleen,1756
css:cfk_tot,1755
css:cfk_ind,1754
css:co_cr_ni_pb_zn,1753
css:vox_i,1750
css:tmybz,1749
css:surf_ion,1748
css:vocl_i,1747
css:latex,1746
css:mak_i,1745
css:pak_i,1744
css:arom_vlucht_i,1743
css:hpo3²-,1742
css:dcee,1741
css:tetracea,1740
css:sof,1739
css:xyl__eybz,1738
css:tcee__ttcee__dcma,1737
css:vocl_t,1736
css:111cea_112cea,1735
css:arom_vlucht,1734
css:nh3_no2-,1733
css:persist__min__olie,1732
css:cl__gebonden,1731
css:opgl__vt,1730
css:aromaten,1729
css:oplosmiddelen,1728
css:persistente_kws,1727
css:met_ex_zn_fe_mn_pb_a,1725
css:pyrethroïden,1724
css:acrylaatpolymeren,1723
css:pesticiden_t,1722
css:extrah__st_,1721
css:na-zouten,1720
css:alcoholen,1719
css:xyl__styr,1718
css:dcbz,1717
css:buta_tria_ala_acet,1716
css:11cea__12cea,1715
css:cl_en_so4,1714
css:co_cr_cu_ni_pb_zn,1712
css:met_excl_zn_fe_mn_al,1711
css:ddt__dde_en_isom,1710
css:se_v_u_th_te,1709
css:cu_ni_cd_cr_pb,1708
css:7_metalen_opg_,1707
css:9_metalen_totaal,1706
css:s=___merc_,1705
css:tox___pver_o,1701
css:gechlor__oplosm_,1700
css:cu_ni_zn_cr,1699
css:cr_cu_ni_pb_zn,1698
css:cd_cr_cu_ni_pb_zn,1697
css:arom_kws__mak___pak,1696
css:pcb_t_pct_t,1695
css:som129_excl_ox,1694
css:profam_benzadol,1692
css:thm_t_excl_3clethyl,1691
css:metalen_excl__al_fe,1690
css:8_metalen_totaal,1689
css:cu__pb__ni__zn,1688
css:fe_al,1687
css:kws_t_vlucht,1686
css:sn_anorg_t,1685
css:alif__ox,1684
css:fol_h2o_vlucht,1683
css:gechl__arom,1682
css:det_zonder_gisting,1681
css:det_met_gisting,1680
css:tiverb_ot_-ti,1679
css:alkanen_alkenen,1678
css:tocl,1677
css:can_i,1676
css:n-fenol,1675
css:es_ccl4,1674
css:4eyfol___35myfol,1668
css:biociden,1666
css:arom_c9-c10,1665
css:dinyftofdidyft,1543
css:dn_t,1520
css:ti_t_,1488
css:sn_t_,1487
css:furanen,1486
css:npoc,1484
css:sccp,1465
css:1235_1245cbz,1457
css:n_n_n,1437
css:bde_t_6,1388
css:arom__gt_c13,1386
css:arom_c10,1385
css:arom_c9,1384
css:cyalk,1383
css:alk__gt_c13,1382
css:alk_c10-12,1381
css:vos,1380
css:hcdbfur_t,1343
css:pcdbfur_t,1342
css:ttcdbfur_t,1341
css:hpcdbd_t,1340
css:hcdbd_t,1339
css:pcdbd_t,1338
css:ttcdbd_t,1337
css:f_an_,1333
css:cl_an_,1332
css:pak_4,1329
css:d15n,1327
css:d13c,1326
css:s_t-h2s_rsh,1321
css:stoffr_t,1316
css:stoffr_o,1315
css:stoffr_no,1314
css:bjflu_bep,1299
css:kws_ar,1295
css:kws_al,1294
css:s_t-sox,1287
css:bc,1286
css:kws_t,1278
css:oc,1269
css:kws_nm,1268
css:h3o_,1262
css:al_comp_,1256
css:tfysn_som,1229
css:tricfolsom,1228
css:bpe___ip_som,1225
css:bflu_som,1224
css:oyfolsom,1223
css:nyfolsom,1222
css:dicnibzsom,1219
css:cbzsom,1218
css:dbysn_som,1216
css:ddt_2_som,1214
css:ctols,1212
css:1c2_3_4nibzs,1210
css:cfols,1208
css:cans,1206
css:c18eo,1192
css:dioxines,1191
css:stof_t,1181
css:oasf_t,1179
css:neg_oasf,1178
css:halonen,1177
css:hfk,1175
css:hcfk,1174
css:cfk,1173
css:nmvos_t,1172
css:anmvos_t,1171
css:xnmvos_t,1170
css:neg_nmvos,1169
css:neg_anmvos,1168
css:neg_xnmvos,1167
css:pak_14,1165
css:f-verb,1163
css:cl-verb,1162
css:sox,1161
css:nox,1160
css:aes,1152
css:as,1151
css:las/abs,1150
css:c18:2dadma,1149
css:c18:1dadma,1148
css:c18:2admba,1146
css:c18:1admba,1145
css:c16:1admba,1144
css:c18:2atma,1143
css:c18:1atma,1142
css:c16:1atma,1141
css:c18isoquin,1140
css:c16isoquin,1139
css:c14isoquin,1138
css:c18quin,1137
css:c16quin,1136
css:c14quin,1135
css:c12quin,1134
css:c18pyr,1133
css:c14pyr,1132
css:c18dadma,1131
css:c14dadma,1129
css:c18admba,1127
css:c16admba,1126
css:c18atma,1124
css:c14admba,1123
css:c12admba,1119
css:c14atma,1117
css:c10peo,1113
css:c9peo,1112
css:c16eo,1110
css:c15eo,1109
css:c14eo,1108
css:c13eo,1107
css:c12eo,1106
css:c11eo,1105
css:c10eo,1104
css:cnyl_t,1103
css:ac_acrol,1100
css:dyfolet,1054
css:nyfolet,1053
css:oyfolet,1052
css:pft_t,1049
css:calux,1010
css:btbdpe,1000
css:adeidrin,996
css:ccl4,993
css:kws_c30-40,992
css:kws_c20-30,991
css:kws_c12-20,990
css:kws_c10-12,989
css:opvv_t,977
css:oyfol_et,961
css:nyfol_et,960
css:pcdd_pcdf,959
css:asbest,955
css:bde_85_154,954
css:pbs,951
css:fol_t,949
css:alk_c,949
css:hpc_epx,948
css:24_25-cfol,922
css:bde,919
css:ipytol,917
css:ddt_t,907
css:btex,906
css:onp_t,897
css:hch,896
css:ddd_e_t,894
css:vox,892
css:pcb_pct_t,890
css:dcan_t,888
css:cl,887
css:dcbzdines,886
css:apeo,881
css:uranimine,862
css:pak_2,824
css:pak_10,817
css:os,795
css:3_4cfol,794
css:2345_2346cfol,793
css:3_4myfol,786
css:3_4eyfol,785
css:hpcepx,784
css:selenas,782
css:23_35myfol_4eyfol,766
css:24_25myfol,765
css:1buteen__,746
css:pcb_28_31,745
css:nvooc,726
css:nvtoc,725
css:tas,719
css:pver_o,704
css:snver_ot,693
css:clfvfs,675
css:fuh_t,655
css:n_o,653
css:aisurf,618
css:siver_o,613
css:ol_water,609
css:es_ttcee,599
css:eas_ttcee,598
css:nh4_zt,593
css:fol_c,582
css:es_pe,573
css:dcdfytcea,568
css:pak_15,550
css:ompxyl,526
css:tvplds,518
css:sp_opp_,514
css:pct_t,513
css:pak_6,512
css:mercapt,510
css:p_esters,506
css:cl_ot,505
css:surf_t,492
css:basurf,491
css:cresol,485
css:ctine,484
css:cnitol,482
css:cresol_c,479
css:br-_i-,460
css:m_ol_kws,458
css:fol_get_,454
css:pcb_t,445
css:pak_16,433
css:opp_t,405
css:thm_t,390
css:solvent,305
css:pox,304
css:toc,303
css:doc,302
css:om,301
css:nisurf,300
css:kjn__f,299
css:kjn,298
css:kisurf,297
css:mno4_wf,296
css:mno4_w,295
css:mno4_kf,294
css:mno4_k,293
css:eox,291
css:chol,290
css:kws_ap_,286
css:mbas,285
css:aox,284
css:triazine,283
css:ocp_t_imjv,258
css:ocp_t,258
css:mak_t,217
css:mpxyl,214
css:clfyl_t,120
css:zs,113
css:kalk_os,92
css:bs,73
css:zs_as,72
css:tct,58
css:n_t,31
css:tam,25
css:tap,24
css:cl_v,23
css:n_n,7
